,Unnamed: 0,Building name,Related probable/confirmed cases,count,lat_col,long_col
472,472,K11 MUSEA ,"3369, 3441",2,22.294415700000002,114.17484257423352
473,473,KCP ,"2918, 3517",2,48.69552365,26.609296393407057
474,474,KCP Caf de Coral ,3721,1,,
475,475,"Ka Chun House, Ka Lung Court",3849,1,22.249281,114.13803659716157
476,476,"Ka Lei Lau, Ka Wai Chuen","4425, 4549, 4550, 4551",4,22.307992849999998,114.18672629973312
477,477,Ka Wai Chuen Ka Lim Lau McDonald's ,4345,1,,
478,478,"Kai Him Lau, Cho Yiu Chuen",4457,1,22.3467104,114.12750549111544
479,479,"Kai Ning House, Kai Yip Estate",3701,1,22.32983695,114.20991249551538
480,480,Kai Seng Commercial Centre ,"1837, 2538",2,22.2959673,114.17148237166083
481,481,"Kai Shing House, Kai Yip Estate","3604, 3605, 3903, 4065, 4072, 4085, 4179, 4190",8,22.32969775,114.20888940307864
482,482,Kai Tin Shopping Centre ,"4191, 4200",2,22.3085428,114.2343047
483,483,Kai Tin Shopping Centre Victoria Harbour Restaurant ,4200,1,,
484,484,Kai Yip Shopping Centre ,"1809, 1836, 2446",3,22.3288066,114.20944414788248
485,485,Kaiser Estate Phase I ,4344,1,22.3093708,114.18857231792799
486,486,Kam Fai Building,"4328, 4479",2,22.2826423,114.12776821858135
487,487,"Kam Fai Building, Yee Kuk Street",4278,1,22.3292732,114.1585587
488,488,Kam Heng Building,4463,1,22.367187649999998,114.13925371455161
489,489,"Kam Ho Court, Treasure Bay","4119, 4318",2,1.1596114,104.3305224
490,490,"Kam Hon House, Choi Hung Estate","3829, 3830, 3988, 4091, 4126, 4127, 4129, 4131",8,22.335458,114.20623104898142
491,491,"Kam Kei House, Kam Tai Court",4013,1,22.40809735,114.22109970262139
492,492,"Kam Lan House, Kam Fung Court","4267, 4404",2,22.3700467,114.11475000650219
493,493,Kam Ning House,3924,1,22.33192055,114.16309148582131
494,494,Kam Pik House Choi Hung Estate ,"1612, 1671, 2009, 2032, 2766, 2897, 3437, 3438, 4091",9,,
495,495,"Kam Pik House, Choi Hung Estate",4154,1,22.335458,114.20623104898142
496,496,Kam Shing Building McDonald's ,4003,1,22.275963500000003,114.17377060000001
497,497,"Kam Tin House, Kam Tai Court",3827,1,22.40809735,114.22109970262139
498,498,"Kam Wan House, Choi Hung Estate",3626,1,22.3369893,114.20493770084937
499,499,Kan Yip Building ,"1858, 2315",2,22.444755,114.0249187128864
500,500,"Kar Man House, Oi Man Estate",3613,1,22.312231,114.17844665868928
501,501,Kau Lee Uk Tsuen,3766,1,,
502,502,Kennedy Town Community Complex ,4378,1,22.28180965,114.12910662639821
503,503,Kin Bong Building ,4304,1,22.292095,114.2000006966052
504,504,Kin Fai Building ,"3968, 4058",2,22.44215865,114.0325076
505,505,"Kin Man House, Oi Man Estate","4281, 4383, 4513",3,22.3125729,114.1793877491157
506,506,Kin On Commercial Building,"4083, 4116, 4118, 4128",4,,
507,507,Kin On Commercial Building ,"3909, 4083, 4116, 4118, 4128",5,,
508,508,Kin Sang Estate Commercial Centre ,4496,1,,
509,509,Kin Shue House Lei Muk Shue Estate ,"2919, 2979",2,22.37883025,114.13638314061316
510,510,"Kin Tai House, Fu Tai Estate","4239, 4384",2,22.4133099,113.98425657613562
511,511,Kin Yip Mansion ,4304,1,22.2913663,114.1963022246976
512,512,"King Fat House, Cheung Fat Estate",3753,1,22.36238745,114.10333164874802
513,513,"King Fu House, Shan King Estate",4184,1,22.3987124,113.96641668494043
514,514,"King Kwai House, Shan King Estate",4500,1,22.3987124,113.96641668494043
515,515,"King Min House, King Lam Estate","3622, 3662",2,22.3205623,114.26091736861284
516,516,"King Wing Building, Whampoa Estate",4048,1,22.30614395,114.18758350377075
517,517,"King Yung House, King Lam Estate",3935,1,22.3205623,114.26091736861284
518,518,Kingswood Ginza ,4561,1,22.457002950000003,114.0041774815862
519,519,Kingswood Ginza Cafe 100% ,4561,1,22.4474395,114.022372
520,520,Kiu Wai Mansion,3773,1,22.3108429,114.18505414015519
521,521,"Kiu Wai Mansion, 6 Shun Yung Street",4049,1,22.3105236,114.1842023
522,522,"Ko On House, Ko Cheung Court",4524,1,22.295582500000002,114.24044983410474
523,523,Kolour - Tsuen Wan I ,4217,1,22.37059325,114.11758870554553
524,524,Koon Wing Building ,3831,1,22.33803175,114.15559830131969
