,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
34,Tsuen Wan,The Blue Yard,,3976
35,Yuen Long,Tung Chan Wai,,3977
36,Kwai Tsing,"Ching Mui House, Cheung Ching Estate",,3978
37,Kwun Tong,"Ping Sin House, Ping Tin Estate",,3979
38,Yau Tsim Mong,Metropark Hotel Mongkok,,3980
39,Sai Kung,"Tower 6, Le Prestige, LOHAS Park",,3982
40,North,"Tower 1, Wing Fai Centre",,3983
41,North,"Tin Yee House, Tin Ping Estate",,3984
42,Sham Shui Po,"Lai Tin House, Pak Tin Estate",,3985
43,Sham Shui Po,"Lai Tin House, Pak Tin Estate",,3986
44,Sham Shui Po,"Lai Tin House, Pak Tin Estate",,3987
45,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,3988
46,Wong Tai Sin,"Ching Wo House, Tsz Ching Estate",,3989
47,Southern,TWGHs Jockey Club Sunshine Complex for the Elderly,,3990
48,Sham Shui Po,124 Fuk Wing Street,,3991
49,Sham Shui Po,"Un Lok House, Un Chau Estate",,3992
50,Yuen Long,Fung Chi Tsuen,,3993
51,Sai Kung,"Sheung Lai House, Sheung Tak Estate",,3994
52,Kwun Tong,"Ching Tat House, On Tat Estate",,3995
53,Yau Tsim Mong,Mongkok Building,,3996
54,Kowloon City,"Block D, Loong King Mansion",,3997
55,Kowloon City,"Block D, Loong King Mansion",,3998
56,Kowloon City,"Block D, Loong King Mansion",,3999
57,Yuen Long,Fung Chi Tsuen,,4000
58,Yuen Long,"Shui Sum House, Tin Shui Estate",,4001
59,Sai Kung,"Tower 6, The Beaumount",,4002
60,North,Tai Yuen Tsuen,,4003
61,Sham Shui Po,36 Boundary Street,,4004
