,Unnamed: 0,Building name,Related probable/confirmed cases,count,lat_col,long_col
1145,1145,Yau Shing Mansion,"4170, 4348, 4350, 4351",4,22.316339,114.1678724200832
1146,1146,"Yee Kui House, Tsing Yi Estate",3880,1,22.3561836,114.10286933160987
1147,1147,Yee On Court ,"2289, 2476, 2546, 2722, 3102, 3154, 3165, 3205, 3224, 3321, 3326, 3350, 3368, 3369, 3408, 3441, 3469, 3470, 3487, 3490, 3492, 3517, 3540, 3574, 3578, 3590, 3593, 3665, 3689, 3711, 3712, 3721, 3730, 3755, 4002",35,22.32044645,114.17642790325121
1148,1148,Yee Wa Building,"4498, 4499",2,22.33910085,114.15421279166667
1149,1149,"Yee Yip House, Tsing Yi Estate",4247,1,22.3561836,114.10286933160987
1150,1150,Yen Ching Building,4460,1,22.24368895,114.15510890355739
1151,1151,Yen Dack Building,4304,1,22.291557599999997,114.19839328740363
1152,1152,Yen Ning Building,4271,1,22.3180476,114.21547206430131
1153,1153,Yeung Uk Road Municipal Services Building ,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4177, 4217, 4413, 4457, 4540",17,22.36897565,114.11458210720423
1154,1154,"Yin King House, King Shing Court","3809, 3812, 4224",3,22.4873657,114.14116682241308
1155,1155,Yin Lai Court Shopping Centre ,4444,1,22.3486105,114.12650016519925
1156,1156,Yin Lai Court Shopping Centre Caf de Coral ,4457,1,,
1157,1157,"Yin Ping House, Long Ping Estate","3966, 3967",2,22.450121199999998,114.02488953740807
1158,1158,"Ying Chui House, Ying Tung Estate","4231, 4275",2,22.296351700000002,113.9535783461241
1159,1159,"Ying Tao House, Tung Tao Court","4042, 4044",2,22.282016650000003,114.22576464266623
1160,1160,Ying Tung Shopping Centre ,4338,1,22.29644545,113.95307274924707
1161,1161,"Yiu Chak House, Tin Yiu Estate",4365,1,22.4510237,114.0040936849498
1162,1162,Yiu Chung Building Park Excellent Villa ,3688,1,,
1163,1163,"Yiu Ming House, Wah Ming Estate",3950,1,22.2763409,114.2252953931226
1164,1164,"Yiu Yam House, On Yam Estate",4331,1,22.37123845,114.1424744912383
1165,1165,"Yiu Yat House, Tin Yiu Estate",3904,1,22.4510237,114.0040936849498
1166,1166,Yu To Sang Building McDonald's ,3794,1,22.2824544,114.15630050740215
1167,1167,Yue King Building ,3769,1,22.27679215,114.18067927263127
1168,1168,Yuen Kong Tsuen,3689,1,22.4244188,114.0778425
1169,1169,Yuen Long Plaza ,"1540, 1712, 3844",3,22.4449054,114.02404870000001
1170,1170,Yuen Tat Building  ,"3480, 3481",2,22.442885750000002,114.0245819748956
1171,1171,Yuet Tin House Yan Tin Estate  ,4517,1,,
1172,1172,"Yuet Tin House, Yan Tin Estate  ",4548,1,22.4149471,113.97603767258721
1173,1173,"Yuet Wah House, Tin Yuet Estate",3772,1,22.4629944,113.99973501683385
1174,1174,"Yuet Wing House, Tin Yuet Estate","4288, 4510",2,22.4629944,113.99973501683385
1175,1175,"Yuk King House, King Ming Court","4297, 4298",2,22.32327215,114.24977548092062
1176,1176,"Yuk Mei House, Yau Chui Court","3694, 3908",2,22.30025075,114.23810676902019
1177,1177,Zone B Tai Po Mega Mall ,"2991, 3504",2,,
1178,1178,iSQUARE ,"3941, 4001",2,22.296777499999997,114.17187644667695
1179,1179,iclub Mong Kok Hotel,4073,1,22.3202935,114.16521900495968
