,Building name,Related probable/confirmed cases,count,lat_col,long_col
0,1 Fu Chi Path ,"1831, 2113, 3830",3,22.3357989,114.2078873
1,1 Hung To Road No. 1 Hung To Canteen ,"4186, 4387",2,,
2,1 Wing Lung Street,4442,1,22.337019,114.1577184
3,12 Po Peng Street ,4338,1,3.8112763999999997,103.32379018110743
4,12 Tai Hing Tai Road  ,4119,1,22.2059071,114.0277453
5,12 Wing Lung Street,3688,1,22.3376053,114.158389
6,124 Fuk Wing Street,3991,1,22.33265275,114.16213233302118
7,128 Wan Chai Road ,4242,1,22.2778134,114.1786013
8,13 Kwai Wing Road  ,4203,1,22.366306350000002,114.13361992619278
9,130-132 Castle Peak Road  Yuen Long ,3801,1,22.4443338,114.040293
10,135 Fuk Wa Street,"4028, 4029, 4107, 4260",4,22.33107125,114.1626828433642
11,140 On Ning Road ,4337,1,22.4460887,114.0287879
12,15 Wong Chuk Street,3770,1,22.3269917,114.1639569
13,150 Castle Peak Road Sum Kee Beef Noodles Shop ,4263,1,,
14,15A-15C Wong Chuk Street,3901,1,22.3269917,114.1639569
15,16 Lung Sum Avenue ,"3382, 3405",2,22.503345,114.129572
16,17 Lion Rock Road ,"3193, 3194",2,22.3282206,114.18799582293232
17,17 Ming On Street Sun Fat Restaurant ,3974,1,,
18,181 Fa Yuen Street,3897,1,22.3163782,114.1717114
19,19-23 Hart Avenue Mochi Caf ,4368,1,,
20,2 Leighton Road ,4175,1,44.240328500000004,-68.3437895
21,2 Oi Lai Street ,4021,1,22.28217,114.22813
22,20 Swatow Street,4558,1,22.2757638,114.17178195
23,213 Un Chau Street McDonald's ,4121,1,22.3301069,114.1662546
24,24 Sheung Fung Street ,3794,1,22.3452185,114.1975951
25,25 Broadway Street May May Restaurant ,"2089, 2437",2,,
26,25B Hau Wong Road ,"3021, 3126",2,22.3302737,114.1888125
27,27 Queen's Road East,4402,1,22.2769431,114.168626
28,273 Castle Peak Road ,4291,1,22.337274649999998,114.15760310529511
29,33 Fife Street ,3996,1,54.0497548,-2.8221602123852065
30,34 Wuhu Street ,4068,1,22.30701445,114.1865893679819
31,347-349 Shau Kei Wan Road Kung Fu Dim Sum ,3692,1,,
32,36 Boundary Street,4004,1,43.571648,-116.597871
33,4 Sai On Street ,"2754, 2987",2,22.2489641,114.1553178
34,407 Un Chau Street  ,4191,1,22.3390931,114.15424484015936
35,44 South Wall Road  ,3842,1,33.778386923106765,-79.45990941284789
36,50-52 South Wall Road ,3721,1,22.329083,114.1909621
37,6 Humbert Street  ,4257,1,43.64606405,-79.4201916081624
38,625 King's Road ,"2027, 2204",2,22.2922942,114.20626193182702
39,63 Berwick Street,3936,1,42.27825064796858,-71.8356472186908
40,63 Sham Tseng Village Sham Tseng Chan Kee Roasted Goose ,4218,1,,
41,63A San Fung Avenue ,4222,1,22.5053159,114.1268957
42,64 Chui Tin Street ,4429,1,22.3716372,114.1824227
43,65 Portland Street,3704,1,41.56748605843915,-72.65216582221989
44,66 Pei Ho Street  ,4458,1,22.3322932,114.1644733
45,67 Sa Po Road,4233,1,22.33011595,114.19262206538201
46,71 Fuk Wing Street,3754,1,22.3340954,114.1599937
47,74 Heung Wo Street,4024,1,22.3717373,114.1117208
48,78 Wuhu Street  ,4425,1,22.3078342,114.1852956
49,78A To Kwa Wan Road Hon Po Restaurant ,4187,1,,
50,8 Clear Water Bay Road Infinity Eight ,"1322, 1597, 1710, 1869, 2094, 3759, 4154",7,22.3338994,114.2096762
51,8 Lung Sum Avenue ,4222,1,22.503211,114.1295276
52,85 Apliu Street,3839,1,22.3285876,114.1641193
53,85A Fuk Wing Street,"3947, 4041",2,22.3340954,114.1599937
54,86 Shung Ling Street ,"3307, 3716",2,22.3360434,114.1962713
55,89 Chik Fu Street ,"2433, 2583",2,22.375248,114.1782456
56,91 Sham Tseng Village Nittaya Restaurant ,4277,1,,
57,99 Maidstone Road,"4419, 4497",2,51.3280808,0.6601894
58,APM ,"2833, 3198, 3646, 3703",4,22.3123506,114.22526495185951
59,Aberdeen Centre ,3741,1,22.2488023,114.15398350622397
60,Administration Building Shing Mun Tunnels ,4553,1,22.3766283,114.1452323
61,Admiralty Centre Tower 1 ,"1864, 1740, 2768",3,22.279349250000003,114.16512761003902
62,Albron Court ,"4030, 4240",2,60.5566827,16.4815239
63,Aldrich Garden Shopping Centre ,4437,1,,
64,Amoy Plaza ,"3199, 3213",2,51.5110007,-0.0260166
65,Amoy Plaza Loving Hut ,4271,1,,
66,Argyle Centre Phase I ,"1315, 1512, 1845, 2010, 2568, 2949, 3052, 3801",8,22.31977105,114.1697180366233
67,Aster Court (Shopping Centre) ,4359,1,,
68,"Begonia House, So Uk Estate","4101, 4226, 4276, 4320, 4321, 4322",6,22.3409567,114.15667759475292
