,Unnamed: 0,Building name,Related probable/confirmed cases,count,lat_col,long_col
708,708,"No. 104, 105, 106, 107, 114, 115, G/F, & No. 112-113, Terrace 1, Wong Ka Wai ","2254, 2543, 2586, 2938, 2975",5,22.2770052,113.9343804
709,709,North Kwai Chung Market ,"3161, 3172, 3525",3,22.3705084,114.1389991
710,710,Novotel Nathan Road Kowloon Hong Kong,"4405, 4406",2,22.307219449999998,114.17197851504183
711,711,Novotel Nathan Road Kowloon Hong Kong ,"1633, 2441",2,22.307219449999998,114.17197851504183
712,712,OP Mall ,"2529, 2690, 4495",3,22.368386,114.10992489116825
713,713,Ocean Terminal ,4046,1,22.294895,114.16647562926093
714,714,Ocean Terminal Ebisoba Ichigen ,4046,1,,
715,715,Ocean Terminal HEXA ,4055,1,,
716,716,Ocean Terminal XIHEYAYUAN ,3945,1,,
717,717,Ocean Walk ,"1797, 2153, 3690",3,40.6133809,-73.4194155
718,718,"Oi Chak House, Oi Tung Estate",4437,1,22.28145845,114.22771083778028
719,719,"Oi Fai House, Yau Oi Estate","4006, 4007",2,22.3882266,113.97356645701791
720,720,Oi Man Market ,"2900, 3082, 3575",3,22.312338,114.1781509
721,721,Oi Man Plaza ,"2641, 2900, 3761",3,22.3120306,114.17867908684131
722,722,Oi Man Plaza Caf 100% ,"2110, 2900",2,,
723,723,Oi Man Plaza KFC ,4188,1,22.3120306,114.17867908684131
724,724,"Oi Tai House, Fu Tai Estate","3850, 4136",2,22.4133099,113.98425657613562
725,725,Olympian City 2 ,"2016, 2783, 3623",3,37.9839412,23.7283052
726,726,Olympian City 3 ,4338,1,22.31748125,114.16461321412325
727,727,"On Chiu House, Cheung On Estate",4504,1,22.361239249999997,114.1007696799866
728,728,On Fung Building ,"4024, 4340",2,22.37128015,114.11217322368282
729,729,"On Hei House, Siu Hei Court",3690,1,22.373782400000003,113.96670687873998
730,730,"On Hong House, Tsz On Court",3828,1,22.3481682,114.20127917010021
731,731,On Lok Garden Mansion,3745,1,22.3145682,114.22751588220183
732,732,On Tai Estate Ancillary Facilities Block ,4099,1,22.32554055,114.23093389276167
733,733,"On Tao House, Cheung On Estate",3703,1,22.361239249999997,114.1007696799866
734,734,On Tat Shopping Centre ,"2283, 2996",2,,
735,735,On Wing Building,"4075, 4208",2,22.3066621,114.18860874733332
736,736,"On Wu House, Cheung On Estate",3729,1,22.361239249999997,114.1007696799866
737,737,On Yam Shopping Centre Grand Restaurant ,4331,1,22.371112949999997,114.14169427242653
738,738,One Capital Place ,4434,1,22.2784607,114.17196649799754
739,739,One Sky Mall ,"2751, 2752, 3220",3,22.4646334,114.0033032801631
740,740,"Orchid Court, New Town Plaza Phase III",4303,1,22.379778,114.1876147275612
741,741,"Pak Fung House, Choi Wan Estate",4458,1,22.3334571,114.2146667
742,742,"Pak Hung House, Choi Wan (I) Estate",4054,1,22.33259425,114.21543416992394
743,743,"Pak Kai Court, Bedford Gardens",3782,1,22.28983165,114.2044268540449
744,744,Pak Lee Villa,4415,1,55.9612552,-4.8207271
745,745,"Pak Yuen House, Chuk Yuen (North) Estate",4198,1,22.34637325,114.19213525801541
746,746,"Pak Yuen House, Chuk Yuen North Estate","4089, 4323, 4397, 4502",4,22.34637325,114.19213525801541
747,747,Pang Ching Court,4223,1,22.3457959,114.1905656
748,748,Paradise Mall ,"2927, 3085, 4304, 4437",4,22.27665475,114.23998112582612
749,749,Paradise Mall McDonald's ,4304,1,22.27665475,114.23998112582612
750,750,Paradise Square,4261,1,53.38387375,-1.4703699547658862
751,751,Park Central Shopping Centre ,"1375, 1437, 1465, 1592, 2370, 2627, 3296, 3593",8,35.88109825,-106.3011974124891
752,752,Park Summit Jade Palace Chinese Restaurant ,4294,1,,
