,Building name,Related probable/confirmed cases,count,lat_col,long_col
336,Fung Ying Seen Koon ,"2495, 2717, 2843",3,22.4904919,114.139059
337,Gala Place ,"1610, 1640, 1875, 2027, 2186, 2652, 3291, 4175",8,22.315091250000002,114.17111422015583
338,Garfield Mansion,"3611, 3868, 4240",3,46.5991721,-112.0476742
339,Gateway Arcade Han Lin Tea Room ,4079,1,,
340,Gateway Arcade cookedDeli by city'super ,"1746, 1771, 2227",3,,
341,Ginza Plaza ,"2289, 2476, 2765, 3356",4,22.31626895,114.17082595
342,"Gladiolus House, So Uk Estate","3805, 4291, 4474, 4523, 4525",5,22.3409567,114.15667759475292
343,Gleneagles Hong Kong Hospital ,"2980, 3343",2,22.2515304,114.1764717212933
344,Global Gateway Tower ,3945,1,22.36548615,114.11934345637965
345,Golden Bear Industrial Centre ,4412,1,22.372392599999998,114.10827386322512
346,Golden Building ,4077,1,22.3320144,114.16220326921876
347,Golden Computer Arcade ,"3894, 4338",2,22.33201575,114.16203144271535
348,Golden Dragon Industrial Centre ,4097,1,22.35820845,114.13120568723251
349,Golden Era Plaza Tastefull Kitchen ,"3617, 3715",2,,
350,"Golden Healthy Court, Phase 1, Golden Lion Garden",4429,1,51.469875,-0.210032
351,Golden Hill Commercial Mansion ,4368,1,43.6475388,-79.3930997
352,Goldfield Mansion ,4341,1,22.291751400000003,114.19823545
353,Grand Plaza ,"2164, 2574, 4338",3,50.84671435,4.352514119250888
354,Grand Waterfront Plaza ,"2333, 3119",2,22.3191736,114.1932863
355,Grandeur Shopping Arcade ,4296,1,-36.8583174,174.7821733
356,Grandeur Shopping Arcade Caf de Coral ,4267,1,,
357,Great Eagle Centre ,4156,1,22.2810278,114.17488305
358,Greenland Garden Shopping Centre ,"2154, 2374",2,,
359,"Greenwich Garden, Kam Shan Village",4539,1,22.44807965,114.16170898160328
360,Guangdong Hotel,"3843, 3845",2,8.988572,38.7874905
361,Guardforce Centre ,3965,1,22.3108745,114.19076982763158
362,Guardian House ,4270,1,52.463494,-1.9988911995451142
363,H.A.N.D.S Shopping Centre ,"1763, 1894, 2168, 3640",4,,
364,H21 Golden Star Seafood Restaurant ,"3118, 3495",2,,
365,HKSH Eastern Medical Centre ,"2822, 2854",2,22.28250435,114.23265695
366,Ha Kwai Chung Polyclinic & Special Education Services Centre ,"2261, 2262, 2600, 2878, 2919",5,,
367,Ha Wo Che,4255,1,22.3894223,114.1938147
368,Ha Wong Yi Au,3636,1,22.4418931,114.1750592
369,Haking Wong Building The University of Hong Kong Union Restaurant (EAT) ,"3432, 3588",2,,
370,Hanford Garden ,4455,1,22.382531450000002,113.97707327096589
371,"Hang Chun House, Cheung Hang Estate",3638,1,22.3554038,114.09796585641381
372,Hang On Building ,4218,1,22.34379645,114.19863901707345
373,"Hang Wo House, Tai Wo Estate","3835, 4051, 4104, 4132",4,22.45195575,114.16260389308354
374,Harbour City ,"2538, 2790, 3052, 3346, 3492",5,53.7662863,-2.7548233
375,Harbour One ,4160,1,22.286952,114.13305459535005
376,Harbour Plaza 8 Degrees,"3630, 3631",2,22.322894249999997,114.19073312925468
377,Harbour Plaza Resort City ,"3460, 3818",2,-33.87770005,151.20355953992953
378,Harbour Plaza Resort City Hong Kong,3818,1,,
379,Hau Tak Shopping Centre ,"3327, 3328, 3875",3,22.3169826,114.2659242
380,Haven Court,"3664, 4401",2,41.0948411,-73.922703
381,Haven Court ,"3664, 4199, 4401",3,41.0948411,-73.922703
382,"Hei Lai House, Wah Lai Estate",3917,1,22.342522549999998,114.13729638857976
383,"Hei Tin House, Yan Tin Estate",4375,1,22.4149471,113.97603767258721
384,"Heng Cheong House, Fu Heng Estate",3600,1,22.4586379,114.1713514667931
385,"Heng Cheuk House, Tin Heng Estate",4456,1,22.4704393,113.99980602199633
386,"Heng Kin House, Tin Heng Estate",4060,1,22.4704393,113.99980602199633
387,"Heng Nga House, Hong Nga Court",3643,1,22.30518205,114.23783724709503
388,Heng On Shopping Centre ,"2267, 2697, 3428, 3490, 3953",5,22.4167715,114.22771676918897
389,"Heng Yuet House, Heng On Estate",3718,1,22.4175887,114.22816565837479
390,Hennessy Apartments,3678,1,22.2797615,114.18304654966693
391,"Herring Gull House, Sha Kok Estate",4530,1,22.37853715,114.19462504104656
392,Heung Wo Street,"4248, 4249, 4347",3,22.3717373,114.1117208
393,Heya Star Cafe de Itamomo ,4498,1,,
394,"Hi Shek House, Shek Mun Estate","3642, 3717",2,22.38591735,114.20958268358896
395,"Hibiscus House, Ma Tau Wai Estate",3762,1,22.32321585,114.18682201588476
396,"High Block, King Fu House, Shan King Estate",4373,1,22.3987124,113.96641668494043
397,"High Block, Ting Lung House, On Ting Estate",3640,1,22.3872107,113.9769265350201
398,Hilton Plaza ,"2012, 2529, 3456",3,27.25876815,33.82863247526509
399,"Him Yat House, Yat Tung (II) Estate",4090,1,22.283333550000002,113.93646775830285
400,Hin Keng Shopping Centre ,"1666, 2306, 2310, 3456",4,22.3629397,114.17135557987231
401,Hing Fat Building 11 Yu King Square ,4212,1,22.4433335,114.02825284990655
402,Hing Fook Building,4472,1,22.4468335,114.02154301608951
403,Hing Wah Building,4141,1,22.3081985,114.1841746213128
404,Hing Wah Plaza ,4526,1,22.26250065,114.23582589230588
405,"Hing Wai House, Tai Hing Estate",3822,1,22.402859399999997,113.97032144757966
406,Hip Wo House ,"2124, 2849, 3535",3,22.31655155,114.22612551417862
407,Hiu Lai Shopping Centre ,4529,1,22.32074725,114.2293903917526
408,Hiu Lai Shopping Centre  ,4186,1,22.32074725,114.2293903917526
409,"Hiu Yat House , Hiu Lai Court",4186,1,22.3195842,114.23003223218043
410,"Hiu Yat House, Hiu Lai Court",4387,1,22.3195842,114.23003223218043
411,Ho Sheung Heung,"4222, 4422, 4423, 4494, 4501, 4520",6,22.5120317,114.1083384
412,Ho Shun Tai Building Peony Golden Court ,4432,1,,
413,Hoi Bun Industrial Building ,"3763, 3784",2,22.306753049999998,114.22266771342078
414,Homantin Plaza ,"1780, 2476, 3386, 3668",4,22.3162584,114.18184595319883
415,Home World The Whampoa ,3713,1,22.3049964,114.1867366
416,"Hong Ching House, Kai Ching Estate","3876, 4038",2,22.33268855,114.2029353599387
417,"Hong Fung House, Cheung Hong Estate",3727,1,22.3495711,114.10459239142227
418,"Hong Kin House, Tsz Hong Estate",4428,1,22.347504100000002,114.2028478105612
419,Hong Kong Adventist Hospital  Tsuen Wan ,"2967, 3558, 3953, 4261",4,,
420,Hong Kong Baptist Hospital ,"1314, 1364, 1557, 1644, 1779, 2008, 2960",7,22.3397091,114.17990392544519
421,Hong Kong International Airport Super Terminal 1 Canteen ,3750,1,,
422,Hong Kong International Airport Terminal 1 Dlifrance ,3750,1,,
423,Hong Kong International Airport Terminal 1 Duddell's ,3750,1,,
424,Hong Kong International Airport Terminal 1 Moon Thai Express ,3750,1,,
425,Hong Kong Jockey Club Sha Tin Racecourse ,3725,1,,
426,Hong Kong Pacific Centre ,"2249, 2538",2,22.297180400000002,114.17125506442952
427,Hong Kong Reese Hotel ,"2485, 2987",2,,
428,Hong Kong Sanatorium & Hospital ,"1848, 2181, 2468, 2522, 2559, 4196, 4341",7,22.269434349999997,114.18299242833507
429,Hong Kong Science Park Food Lab ,4198,1,22.4272551,114.209868
430,Hong Kwai House Cheung Hong Estate ,"3892, 4111",2,22.3495711,114.10459239142227
431,"Hong Kwai House, Cheung Hong Estate","3952, 3955, 4325",3,22.3495711,114.10459239142227
432,Hong Ning Building ,4058,1,22.3170549,114.22285834729811
433,Hong Tai House Cheung Hong Estate ,"3952, 4043",2,,
434,"Hong Tai House, Cheung Hong Estate","3608, 3609, 3610, 3705, 3706, 3865, 3871, 3892, 4152",9,22.3495711,114.10459239142227
435,"Hong Wo House, Cheung Hong Estate Fairwood ",4043,1,,
436,Honland Building ,"3583, 4166",2,,
437,"Hop Wo Yu Tong, Mai Po","3671, 3672",2,22.4997773,114.0521036
438,Hop Yick Commercial Centre ,4521,1,22.442518749999998,114.03017987420031
439,Hop Yick Plaza ,4432,1,22.44324155,114.02935599660523
440,Hop Ying Commercial Centre ,3889,1,22.32447165,114.16805695923833
441,"Hor Ping House, Long Ping Estate","4337, 4426, 4433",3,22.44845535,114.02450443666368
442,Hsin Kuang Centre  ,4419,1,22.3420676,114.19640291719293
443,Hsin Kuang Centre Fulum Palace ,"1598, 2298, 2510",3,,
444,Hung Cheung Building Hee Wan Caf ,"2386, 2689, 4166",3,,
445,"Hung Fai House, Hung Hom Estate","4068, 4165, 4317",3,22.30824615,114.18956068598933
446,"Hung Foon House, Hung Fuk Estate",4181,1,22.437490150000002,113.9978163123299
447,Hung Fuk Estate Auxillary Facilities Block ,4236,1,,
448,Hung Hay Building,"4264, 4478",2,22.3159576,114.17164574559492
449,Hung Hay Building Sun Kee Chicken Congee ,"2973, 3973",2,,
450,Hung Hom Municipal Services Building ,"1723, 1760, 1765, 1877, 1965, 2058, 2116, 2296, 2316, 2341, 2902, 3185, 3188, 3290, 3464, 3643, 3648, 3668, 3731, 4165",20,22.3073678,114.18741570780053
451,"Hung Lok House, Hung Fuk Estate","3596, 3720",2,22.437490150000002,113.9978163123299
452,"Hung Long House, Hung Fuk Estate","4236, 4237",2,22.437490150000002,113.9978163123299
453,"Hung Shing House, Hung Fuk Estate",4359,1,22.437490150000002,113.9978163123299
454,Hung To Industrial Building ,4013,1,22.3081952,114.22397081377551
455,Hung Tso Tin Tsuen,3919,1,22.4244693,114.0308282
456,Hung Wan Building ,"3968, 4035",2,22.3677918,114.13489372367633
457,Hung Wan Centre Wealth Banquet ,4432,1,,
458,"Hung Yiu House, Hung Hom Estate",3774,1,22.30824615,114.18956068598933
459,Hung Yu Mansion ,4121,1,22.29190155,114.19708744339977
460,"Hung Yuet House, Hung Fuk Estate",4205,1,22.437490150000002,113.9978163123299
461,Hysan Place ,"3165, 3565, 3943",3,22.27981135,114.18378511861296
462,IFC Mall ,4303,1,22.2850331,114.1572279
463,Immigration Tower ,"1542, 1584, 1765, 2104, 2134, 2448, 2696, 3026, 4482",9,22.27975325,114.17297826767292
464,In House,4080,1,52.1384929,4.5488794
465,Indi home,"4413, 4527, 4540",3,11.2934294,75.76474827784872
466,Indi home ,"4413, 4540",2,11.2934294,75.76474827784872
467,Indi home Green River Restaurant ,4413,1,,
468,Indi home Maxim's MX ,4413,1,,
469,Island Lodge,4283,1,22.2923208,114.20173784516616
470,Java Road Municipal Services Building ,"2299, 2468",2,22.2923334,114.1993535491039
471,K-point ,4412,1,50.4627749,30.5046718
